date,strategy_gross_return,strategy_net_return,benchmark_return,turnover,strategy_equity,benchmark_equity
2020-07-31,0.0,-0.001,0.0,1.0,0.999,1.0
2020-08-03,0.015258727030040903,0.015258727030040903,0.015298074224660896,0.0,1.0142434683030108,1.015298074224661
2020-08-04,0.011696536302358227,0.011696536302358227,0.0008605199302993416,0.0,1.0261066038494466,1.0161717584527257
2020-08-05,0.009990001080323847,0.009990001080323847,0.004855208675205613,0.0,1.03635740993043,1.0211054843898644
2020-08-06,0.015146414672233693,0.015146414672233693,0.0236277223889525,0.0,1.0520545090098785,1.0452318813048649
2020-08-07,-0.017525035330881678,-0.017525035330881678,-0.01055698374977787,0.0,1.033617216569467,1.0341973853191797
2020-08-10,0.00178695119646873,0.00178695119646873,-0.006002004984237641,0.0,1.0354642400913066,1.0279901274578085
2020-08-11,-0.026463614928031582,-0.026463614928031582,-0.023409227359852736,0.0,1.0080621131697833,1.0039256728404646
2020-08-12,0.03803781460277888,0.03803781460277888,0.029344549772445383,0.0,1.046406592938621,1.0333854197149674
2020-08-13,0.00585075999048538,0.00585075999048538,0.004551694663959216,0.0,1.0525288667663664,1.0380890746156972
2020-08-14,0.0018566551330846395,0.0018566551330846395,-0.00016287365139400212,0.0,1.054483049889568,1.0379199972576423
2020-08-17,0.02505303617212843,0.02505303617212843,0.01526784641836576,0.0,1.0809010518813478,1.0537668003703227
2020-08-18,0.014342202889690348,0.014342202889690348,0.012661017410314557,0.0,1.09640355407111,1.0671085601762227
2020-08-19,-0.008139012575497057,-0.008139012575497057,-0.0061481413023809495,0.0,1.0874799117567053,1.060547825963279
2020-08-20,0.011236601819010723,0.011236601819010723,0.01674174679985696,0.0,1.0996994905112882,1.0783032491346949
2020-08-21,0.030793080247020283,0.030793080247020283,0.013695057716814008,0.0,1.1335626251702096,1.0930706743678227
2020-08-24,0.007260213209283828,0.007260213209283828,0.00787576412146862,0.0,1.1417925315150208,1.1016794411672384
2020-08-25,0.0019785448325849715,0.0019785448325849715,0.01060203636850332,0.0,1.1440516192281338,1.1133594866689258
2020-08-26,0.014632863530401607,0.014632863530401607,0.02813359284579975,0.0,1.1607923704440342,1.144682289157878
