rebalance_date,ticker,momentum_signal,target_weight,selected
2020-07-31,AAPL,0.38025238901061775,0.3333333333333333,True
2020-07-31,MSFT,0.2109644463838023,0.0,False
2020-07-31,NVDA,0.7977325014488128,0.3333333333333333,True
2020-07-31,AMZN,0.5754709291695213,0.3333333333333333,True
2020-07-31,GOOGL,0.0385055601558395,0.0,False
2020-07-31,META,0.2563517979924985,0.0,False
2020-08-31,AAPL,0.7921002589718771,0.3333333333333333,True
2020-08-31,MSFT,0.37806090636004996,0.0,False
2020-08-31,NVDA,1.0129533450621624,0.3333333333333333,True
2020-08-31,AMZN,0.807741290155344,0.3333333333333333,True
2020-08-31,GOOGL,0.21814000159369074,0.0,False
2020-08-31,META,0.5772768414525868,0.0,False
2020-09-30,AAPL,0.9315575519639492,0.3333333333333333,True
2020-09-30,MSFT,0.3899519027421936,0.0,False
2020-09-30,NVDA,1.2282841069050279,0.3333333333333333,True
2020-09-30,AMZN,0.6505371850290302,0.3333333333333333,True
2020-09-30,GOOGL,0.32982507438178943,0.0,False
2020-09-30,META,0.6409774641109023,0.0,False
2020-10-30,AAPL,0.49203837050515586,0.3333333333333333,True
2020-10-30,MSFT,0.13802680710407023,0.0,False
2020-10-30,NVDA,0.722472282925523,0.3333333333333333,True
2020-10-30,AMZN,0.31095121962789474,0.3333333333333333,True
2020-10-30,GOOGL,0.22164171179533954,0.0,False
2020-10-30,META,0.28183785673441974,0.0,False
2020-11-30,AAPL,0.47795405772560695,0.3333333333333333,True
2020-11-30,MSFT,0.16353502535121645,0.0,False
2020-11-30,NVDA,0.51968824744223,0.3333333333333333,True
2020-11-30,AMZN,0.2813570121332929,0.3333333333333333,True
2020-11-30,GOOGL,0.2163818093911427,0.0,False
2020-11-30,META,0.19014248503162468,0.0,False
2020-12-31,AAPL,0.4628389486338087,0.3333333333333333,True
2020-12-31,MSFT,0.08378452120384794,0.0,False
2020-12-31,NVDA,0.3589709867321047,0.3333333333333333,True
2020-12-31,AMZN,0.12684840514690476,0.0,False
2020-12-31,GOOGL,0.19232907834714696,0.3333333333333333,True
2020-12-31,META,0.17025125182414702,0.0,False
2021-01-29,AAPL,0.37671286843617535,0.3333333333333333,True
2021-01-29,MSFT,0.14335209641108815,0.0,False
2021-01-29,NVDA,0.22455940495325866,0.3333333333333333,True
2021-01-29,AMZN,0.050565577376904924,0.0,False
2021-01-29,GOOGL,0.18785446676183204,0.3333333333333333,True
2021-01-29,META,0.1016204676320338,0.0,False
2021-02-26,AAPL,-0.03850520083343745,0.0,False
2021-02-26,MSFT,0.055957625287616164,0.3333333333333333,True
2021-02-26,NVDA,0.07434870066036114,0.3333333333333333,True
2021-02-26,AMZN,-0.10137570939615304,0.0,False
2021-02-26,GOOGL,0.22977484692092176,0.3333333333333333,True
2021-02-26,META,-0.15231485086041752,0.0,False
2021-03-31,AAPL,0.07409596791827822,0.0,False
2021-03-31,MSFT,0.14316176987445495,0.3333333333333333,True
2021-03-31,NVDA,0.009908682360573406,0.0,False
2021-03-31,AMZN,-0.016153293554490245,0.0,False
2021-03-31,GOOGL,0.40688384942292566,0.3333333333333333,True
2021-03-31,META,0.12506197808509056,0.3333333333333333,True
2021-04-30,AAPL,0.18600332861676638,0.0,False
2021-04-30,MSFT,0.2503581185829089,0.3333333333333333,True
2021-04-30,NVDA,0.18944458931850083,0.0,False
2021-04-30,AMZN,0.09632028721516961,0.0,False
2021-04-30,GOOGL,0.5577837591537635,0.3333333333333333,True
2021-04-30,META,0.21448051123638767,0.3333333333333333,True
2021-05-28,AAPL,0.07737820646501836,0.0,False
2021-05-28,MSFT,0.17282906837523893,0.0,False
2021-05-28,NVDA,0.22819884164569193,0.3333333333333333,True
2021-05-28,AMZN,0.01193072192274336,0.0,False
2021-05-28,GOOGL,0.3359843296056799,0.3333333333333333,True
2021-05-28,META,0.19282278394264596,0.3333333333333333,True
2021-06-30,AAPL,0.018741539281971642,0.0,False
2021-06-30,MSFT,0.21414602579512798,0.0,False
2021-06-30,NVDA,0.5462880652035853,0.3333333333333333,True
2021-06-30,AMZN,0.0355688698666945,0.0,False
2021-06-30,GOOGL,0.389148505140577,0.3333333333333333,True
2021-06-30,META,0.25626855766235956,0.3333333333333333,True
2021-07-30,AAPL,0.10886728785841315,0.0,False
2021-07-30,MSFT,0.23394377907138386,0.0,False
2021-07-30,NVDA,0.5019690298074599,0.3333333333333333,True
2021-07-30,AMZN,0.03786104345713848,0.0,False
2021-07-30,GOOGL,0.47454800903286487,0.3333333333333333,True
2021-07-30,META,0.37924349032276417,0.3333333333333333,True
2021-08-31,AAPL,0.24787627372627696,0.0,False
2021-08-31,MSFT,0.3322040350930493,0.0,False
2021-08-31,NVDA,0.7494919090236418,0.3333333333333333,True
2021-08-31,AMZN,0.15500502499090052,0.0,False
2021-08-31,GOOGL,0.43876692743443857,0.3333333333333333,True
2021-08-31,META,0.48537635206310337,0.3333333333333333,True
2021-09-30,AAPL,0.15408740090603668,0.0,False
2021-09-30,MSFT,0.16819442963947573,0.3333333333333333,True
2021-09-30,NVDA,0.5004907961498937,0.3333333333333333,True
2021-09-30,AMZN,0.03924071958150077,0.0,False
2021-09-30,GOOGL,0.25530342481209534,0.3333333333333333,True
2021-09-30,META,0.1363757999052575,0.0,False
2021-10-29,AAPL,0.13384076999078287,0.0,False
2021-10-29,MSFT,0.322250738773074,0.3333333333333333,True
2021-10-29,NVDA,0.7239199204648052,0.3333333333333333,True
2021-10-29,AMZN,-0.004151718730991183,0.0,False
2021-10-29,GOOGL,0.26368694171081763,0.3333333333333333,True
2021-10-29,META,0.003068952481666276,0.0,False
2021-11-30,AAPL,0.32567767744793485,0.3333333333333333,True
2021-11-30,MSFT,0.3418070087214322,0.3333333333333333,True
2021-11-30,NVDA,0.9483112074018085,0.3333333333333333,True
2021-11-30,AMZN,0.084440629158552,0.0,False
2021-11-30,GOOGL,0.19714924333267625,0.0,False
2021-11-30,META,-0.014248826154848127,0.0,False
2021-12-31,AAPL,0.27247516714753606,0.3333333333333333,True
2021-12-31,MSFT,0.21584890695848102,0.3333333333333333,True
2021-12-31,NVDA,0.4360224719227228,0.3333333333333333,True
2021-12-31,AMZN,-0.05031074477832209,0.0,False
2021-12-31,GOOGL,0.1564338356577204,0.0,False
2021-12-31,META,-0.051733734657824604,0.0,False
2022-01-31,AAPL,0.20462695752499682,0.3333333333333333,True
2022-01-31,MSFT,0.09593949619010034,0.3333333333333333,True
2022-01-31,NVDA,0.24016806854762773,0.3333333333333333,True
2022-01-31,AMZN,-0.1020597633291116,0.0,False
2022-01-31,GOOGL,0.0033294804660313204,0.0,False
2022-01-31,META,-0.10993025825839287,0.0,False
2022-02-28,AAPL,0.11421045062754254,0.3333333333333333,True
2022-02-28,MSFT,0.0007858303134866684,0.3333333333333333,True
2022-02-28,NVDA,0.07758835009148313,0.3333333333333333,True
2022-02-28,AMZN,-0.08310471473026593,0.0,False
2022-02-28,GOOGL,-0.062130140803488,0.0,False
2022-02-28,META,-0.4336742540248033,0.0,False
2022-03-31,AAPL,0.23736803968267828,0.3333333333333333,True
2022-03-31,MSFT,0.09787402701829939,0.3333333333333333,True
2022-03-31,NVDA,0.31753145413095685,0.3333333333333333,True
2022-03-31,AMZN,-0.007637662562187564,0.0,False
2022-03-31,GOOGL,0.040332619921173096,0.0,False
2022-03-31,META,-0.3448245388119986,0.0,False
2022-04-29,AAPL,0.03612248589294631,0.3333333333333333,True
2022-04-29,MSFT,-0.1410432411145236,0.3333333333333333,True
2022-04-29,NVDA,-0.2561471482702524,0.0,False
2022-04-29,AMZN,-0.2788105443723995,0.0,False
2022-04-29,GOOGL,-0.21761890222103042,0.3333333333333333,True
2022-04-29,META,-0.3674429698640407,0.0,False
2022-05-31,AAPL,-0.06859347396000581,0.3333333333333333,True
2022-05-31,MSFT,-0.1888226695068672,0.3333333333333333,True
2022-05-31,NVDA,-0.4403923291498253,0.0,False
2022-05-31,AMZN,-0.3249634357515021,0.0,False
2022-05-31,GOOGL,-0.21829438758218234,0.3333333333333333,True
2022-05-31,META,-0.4271515271495584,0.0,False
2022-06-30,AAPL,-0.23572667851543605,0.3333333333333333,True
2022-06-30,MSFT,-0.24561936414714858,0.3333333333333333,True
2022-06-30,NVDA,-0.49452394843962877,0.0,False
2022-06-30,AMZN,-0.3722850541318563,0.0,False
2022-06-30,GOOGL,-0.2570112280903718,0.3333333333333333,True
2022-06-30,META,-0.5298011805206988,0.0,False
2022-07-29,AAPL,0.023465188089716538,0.3333333333333333,True
2022-07-29,MSFT,-0.059579297409122156,0.3333333333333333,True
2022-07-29,NVDA,-0.17198611199008373,0.0,False
2022-07-29,AMZN,-0.03356906348541511,0.3333333333333333,True
2022-07-29,GOOGL,-0.09832944865417359,0.0,False
2022-07-29,META,-0.46001895814881466,0.0,False
2022-08-31,AAPL,-0.05337600116298691,0.3333333333333333,True
2022-08-31,MSFT,-0.1251031147458993,0.3333333333333333,True
2022-08-31,NVDA,-0.37666424539975096,0.0,False
2022-08-31,AMZN,-0.16627485859635704,0.3333333333333333,True
2022-08-31,GOOGL,-0.19581784738741237,0.0,False
2022-08-31,META,-0.2170967441784032,0.0,False
2022-09-30,AAPL,-0.20625804094501243,0.3333333333333333,True
2022-09-30,MSFT,-0.24122472944401185,0.3333333333333333,True
2022-09-30,NVDA,-0.5548935794773947,0.0,False
2022-09-30,AMZN,-0.3067378230185456,0.3333333333333333,True
2022-09-30,GOOGL,-0.31220444792988944,0.0,False
2022-09-30,META,-0.38981832002398176,0.0,False
2022-10-31,AAPL,-0.026471133493278343,0.3333333333333333,True
2022-10-31,MSFT,-0.18035447691395,0.3333333333333333,True
2022-10-31,NVDA,-0.30866418701058296,0.0,False
2022-10-31,AMZN,-0.1771887354103916,0.3333333333333333,True
2022-10-31,GOOGL,-0.1893328883231128,0.0,False
2022-10-31,META,-0.5587553357808932,0.0,False
2022-11-30,AAPL,-0.0015364812954589135,0.3333333333333333,True
2022-11-30,MSFT,-0.05879834011727014,0.3333333333333333,True
2022-11-30,NVDA,-0.07554899131620552,0.3333333333333333,True
2022-11-30,AMZN,-0.20663355563058472,0.0,False
