date,strategy_gross_return,strategy_net_return,benchmark_return,turnover,strategy_equity,benchmark_equity
2020-07-31,0.0,-0.001,0.0,1.0,0.999,1.0
2020-08-03,0.015258851502213622,0.015258851502213622,0.019055323160640736,0.0,1.0142435926507114,1.0190553231606407
2020-08-04,0.011696530983072476,0.011696530983072476,0.0022765550734951123,0.0,1.0261067242565332,1.0213752587267544
2020-08-05,0.009990001080323847,0.009990001080323847,0.005034647922442348,0.0,1.0363575315403835,1.026517523551137
2020-08-06,0.015146510212461273,0.015146510212461273,0.024817758128013567,0.0,1.052054731475621,1.0519933871647966
2020-08-07,-0.01752509222040166,-0.01752509222040166,-0.011746351422391,0.0,1.0336173752856008,1.0396363031451274
2020-08-10,0.001786937960987907,0.001786937960987907,-0.006964226440202004,0.0,1.0354643854106353,1.0323960405145702
2020-08-11,-0.02646364845921963,-0.02646364845921963,-0.025851694556758065,0.0,1.0080622199230864,1.0057068534135811
2020-08-12,0.03803780283776821,0.03803780283776821,0.03158263516589388,0.0,1.0464066918927237,1.0374697260487813
2020-08-13,0.005850723000688377,0.005850723000688377,0.00422129223975265,0.0,1.0525289275930547,1.0418491889523294
2020-08-14,0.0018566611636649706,0.0018566611636649706,0.0013560659662055219,0.0,1.0544831171765507,1.0432620051793864
2020-08-17,0.025053049490837715,0.025053049490837715,0.016731769190805545,0.0,1.0809011348984277,1.060717624255585
2020-08-18,0.014342326811350208,0.014342326811350208,0.010083337726074948,0.0,1.0964037722259004,1.0714131982929538
2020-08-19,-0.008139158147984677,-0.008139158147984677,-0.005946892880660304,0.0,1.0874799685297067,1.06504161877178
2020-08-20,0.011236671365394042,0.011236671365394042,0.016012135101750147,0.0,1.099699623552524,1.0820952090605405
2020-08-21,0.030793076099570344,0.030793076099570344,0.01646102492985002,0.0,1.1335627577472458,1.0999076052733572
2020-08-24,0.007260234129252103,0.007260234129252103,0.00822138832144903,0.0,1.1417926887686913,1.1089503728140244
2020-08-25,0.0019785372383251576,0.0019785372383251576,0.010130076667505872,0.0,1.1440517681218676,1.1201841251110898
2020-08-26,0.014632813859316363,0.014632813859316363,0.028961377371161667,0.0,1.1607924646902166,1.1526262002836167
2020-08-27,-0.011815273416352171,-0.011815273416352171,-0.009840240225107433,0.0,1.1470773843402604,1.1412840815830732
2020-08-28,0.013349132562524605,0.013349132562524605,0.010642009569170163,0.0,1.1623898724032924,1.1534296377004218
2020-08-31,0.021869882427333488,0.021869882427333488,0.01013652034587964,0.0,1.1878112022474756,1.1651214006905128
2020-09-01,0.029160527512512337,0.029160527512512337,0.021194160898831305,0.0,1.2224484034902836,1.1898151711234193
2020-09-02,0.008847543566340321,0.008847543566340321,0.013913999189125725,0.0,1.233264068997767,1.20637025844964
2020-09-03,-0.07303988499747756,-0.07303988499747756,-0.06486977133652483,0.0,1.143186603226649,1.1281132956368276
2020-09-04,-0.017106855187918508,-0.017106855187918508,-0.01905057091544815,0.0,1.123630275552482,1.1066220932976383
2020-09-08,-0.05581609640813804,-0.05581609640813804,-0.05270686938221725,0.0,1.060913619765142,1.0482955071707238
